Geneid	Chr	Start	End	Strand	Length	0
CDR20291_RS00660	NC_013316.1	106631	107260	+	630	0
CDR20291_RS00665	NC_013316.1	107290	107913	+	624	2
CDR20291_RS00670	NC_013316.1	107913	108203	+	291	0
CDR20291_RS00675	NC_013316.1	108233	109063	+	831	0
CDR20291_RS00680	NC_013316.1	109098	109379	+	282	0
CDR20291_RS00685	NC_013316.1	109411	109746	+	336	0
CDR20291_RS00690	NC_013316.1	109769	110584	+	816	0
CDR20291_RS00695	NC_013316.1	110620	111051	+	432	0
CDR20291_RS00700	NC_013316.1	111053	111256	+	204	0
CDR20291_RS00705	NC_013316.1	111280	111534	+	255	0
CDR20291_RS00710	NC_013316.1	111560	111928	+	369	2
CDR20291_RS00715	NC_013316.1	111952	112257	+	306	0
CDR20291_RS00720	NC_013316.1	112287	112829	+	543	0
CDR20291_RS00725	NC_013316.1	112847	113032	+	186	0
CDR20291_RS00730	NC_013316.1	113065	113463	+	399	0
CDR20291_RS00735	NC_013316.1	113494	114036	+	543	0
CDR20291_RS00740	NC_013316.1	114072	114440	+	369	0
CDR20291_RS00745	NC_013316.1	114461	114970	+	510	0
CDR20291_RS00750	NC_013316.1	114985	115170	+	186	0
CDR20291_RS00755	NC_013316.1	115203	115646	+	444	0
CDR20291_RS00760	NC_013316.1	115690	116958	+	1269	0
CDR20291_RS00765	NC_013316.1	116975	117625	+	651	2
CDR20291_RS00770	NC_013316.1	117626	118372	+	747	0
CDR20291_RS00775	NC_013316.1	118394	118663	+	270	0
CDR20291_RS00780	NC_013316.1	118701	118919	+	219	0
CDR20291_RS00785	NC_013316.1	118955	119068	+	114	0
CDR20291_RS00790	NC_013316.1	119221	119592	+	372	0
CDR20291_RS00795	NC_013316.1	119628	120026	+	399	0
CDR20291_RS00800	NC_013316.1	120058	120681	+	624	0
CDR20291_RS00805	NC_013316.1	120759	121706	+	948	0
CDR20291_RS00810	NC_013316.1	121727	122068	+	342	0
CDR20291_RS00815	NC_013316.1	122188	123021	+	834	0
CDR20291_RS00820	NC_013316.1	123009	123875	+	867	0
CDR20291_RS00825	NC_013316.1	123869	124672	+	804	0
CDR20291_RS00830	NC_013316.1	124704	125435	+	732	0
CDR20291_RS00835	NC_013316.1	125555	125986	+	432	0
CDR20291_RS00840	NC_013316.1	126015	126407	+	393	0
CDR20291_RS00845	NC_013316.1	126914	127618	+	705	0
CDR20291_RS00850	NC_013316.1	127902	129404	+	1503	0
CDR20291_RS00855	NC_013316.1	129460	129535	+	76	0
CDR20291_RS00860	NC_013316.1	129786	132683	+	2898	0
CDR20291_RS00865	NC_013316.1	132934	133010	+	77	0
CDR20291_RS00870	NC_013316.1	133127	134629	+	1503	0
CDR20291_RS00875	NC_013316.1	134913	137810	+	2898	2
CDR20291_RS00880	NC_013316.1	137938	138054	+	117	0
CDR20291_RS00885	NC_013316.1	138268	139452	-	1185	6
CDR20291_RS00890	NC_013316.1	139825	142176	+	2352	0
CDR20291_RS00895	NC_013316.1	142198	142737	+	540	0
CDR20291_RS00896	NC_013316.1	143622	143700	+	79	0
CDR20291_RS00897	NC_013316.1	143751	143847	+	97	0
CDR20291_RS00898	NC_013316.1	143910	144042	+	133	0
CDR20291_RS00900	NC_013316.1	144111	144186	+	76	0
CDR20291_RS00905	NC_013316.1	144561	147458	+	2898	6
CDR20291_RS00910	NC_013316.1	147586	147702	+	117	0
CDR20291_RS00915	NC_013316.1	147710	147784	+	75	0
CDR20291_RS00920	NC_013316.1	147790	147875	+	86	0
CDR20291_RS00925	NC_013316.1	147891	147966	+	76	0
CDR20291_RS00930	NC_013316.1	147974	148048	+	75	0
CDR20291_RS00935	NC_013316.1	148063	148136	+	74	0
CDR20291_RS00940	NC_013316.1	148142	148217	+	76	0
CDR20291_RS00945	NC_013316.1	148223	148299	+	77	0
CDR20291_RS00950	NC_013316.1	148310	148384	+	75	0
CDR20291_RS00955	NC_013316.1	148394	148467	+	74	0
CDR20291_RS00960	NC_013316.1	149443	150282	+	840	0
CDR20291_RS00965	NC_013316.1	150279	151460	+	1182	0
CDR20291_RS00970	NC_013316.1	151764	152666	+	903	0
CDR20291_RS00975	NC_013316.1	152688	153767	+	1080	2
CDR20291_RS00980	NC_013316.1	153757	154434	+	678	0
CDR20291_RS00985	NC_013316.1	154477	154692	+	216	0
CDR20291_RS00990	NC_013316.1	154721	155800	+	1080	2
CDR20291_RS00995	NC_013316.1	155800	156552	+	753	0
CDR20291_RS01000	NC_013316.1	156553	157110	+	558	3
CDR20291_RS01005	NC_013316.1	157280	158626	+	1347	0
CDR20291_RS01010	NC_013316.1	158893	160725	+	1833	0
CDR20291_RS01015	NC_013316.1	161178	162473	+	1296	0
CDR20291_RS01020	NC_013316.1	162957	163694	+	738	0
CDR20291_RS01025	NC_013316.1	163715	164968	+	1254	0
CDR20291_RS01030	NC_013316.1	165055	166119	+	1065	0
CDR20291_RS01035	NC_013316.1	166185	166853	+	669	0
CDR20291_RS01040	NC_013316.1	166951	167211	+	261	0
CDR20291_RS01045	NC_013316.1	167408	168427	+	1020	0
CDR20291_RS01050	NC_013316.1	168443	168871	+	429	0
CDR20291_RS01055	NC_013316.1	168982	169491	-	510	0
CDR20291_RS01060	NC_013316.1	169920	171113	+	1194	0
CDR20291_RS01065	NC_013316.1	171429	172526	+	1098	0
CDR20291_RS01070	NC_013316.1	172790	175009	+	2220	0
CDR20291_RS01075	NC_013316.1	175012	175794	+	783	0
CDR20291_RS01080	NC_013316.1	176126	178039	+	1914	0
CDR20291_RS01085	NC_013316.1	178180	178488	+	309	0
CDR20291_RS01090	NC_013316.1	178513	178839	+	327	0
CDR20291_RS01095	NC_013316.1	178878	180212	+	1335	0
CDR20291_RS01100	NC_013316.1	180223	180741	+	519	0
CDR20291_RS01105	NC_013316.1	180837	181796	+	960	0
CDR20291_RS01110	NC_013316.1	181844	182896	+	1053	0
CDR20291_RS01115	NC_013316.1	182899	183573	+	675	0
CDR20291_RS01120	NC_013316.1	184126	184677	+	552	0
CDR20291_RS01125	NC_013316.1	184809	187484	+	2676	0
CDR20291_RS01130	NC_013316.1	187499	188606	+	1108	0
CDR20291_RS01135	NC_013316.1	188750	190891	+	2142	0
CDR20291_RS01140	NC_013316.1	191039	192205	+	1167	0
CDR20291_RS01145	NC_013316.1	192507	193112	+	606	0
CDR20291_RS01150	NC_013316.1	193441	194481	+	1041	0
CDR20291_RS01155	NC_013316.1	194620	195072	+	453	0
CDR20291_RS01160	NC_013316.1	195072	195788	+	717	0
CDR20291_RS01165	NC_013316.1	195778	196254	+	477	0
CDR20291_RS01170	NC_013316.1	196260	197276	+	1017	0
CDR20291_RS01175	NC_013316.1	197573	200281	+	2709	0
CDR20291_RS01180	NC_013316.1	200285	200542	+	258	0
CDR20291_RS01185	NC_013316.1	200535	201485	+	951	0
CDR20291_RS01190	NC_013316.1	201805	202767	+	963	0
CDR20291_RS01195	NC_013316.1	202866	203846	-	981	0
CDR20291_RS01200	NC_013316.1	204974	205441	+	468	0
CDR20291_RS01205	NC_013316.1	206612	207325	+	714	0
CDR20291_RS01210	NC_013316.1	207598	209370	+	1773	0
CDR20291_RS01215	NC_013316.1	209392	210813	+	1422	0
CDR20291_RS01220	NC_013316.1	210842	211912	+	1071	0
CDR20291_RS01225	NC_013316.1	211928	212179	+	252	0
CDR20291_RS01230	NC_013316.1	212230	212433	+	204	0
CDR20291_RS01235	NC_013316.1	212917	213210	+	294	0
CDR20291_RS01240	NC_013316.1	213342	214691	-	1350	0
CDR20291_RS01245	NC_013316.1	214728	215948	-	1221	0
CDR20291_RS01250	NC_013316.1	216317	218329	-	2013	0
CDR20291_RS01255	NC_013316.1	218800	219450	+	651	0
CDR20291_RS01260	NC_013316.1	219590	220966	-	1377	0
CDR20291_RS01265	NC_013316.1	220982	222895	-	1914	0
CDR20291_RS01270	NC_013316.1	223031	223663	+	633	0
CDR20291_RS01275	NC_013316.1	223802	224341	+	540	0
CDR20291_RS01280	NC_013316.1	224517	224687	-	171	0
CDR20291_RS01285	NC_013316.1	224972	226039	+	1068	0
CDR20291_RS01290	NC_013316.1	226209	228110	+	1902	0
CDR20291_RS01295	NC_013316.1	228103	228576	+	474	0
CDR20291_RS01300	NC_013316.1	228551	229777	+	1227	0
CDR20291_RS01305	NC_013316.1	229916	231103	-	1188	0
CDR20291_RS01310	NC_013316.1	231376	232200	+	825	0
CDR20291_RS01315	NC_013316.1	232329	233594	+	1266	2
CDR20291_RS01320	NC_013316.1	233787	234443	+	657	0
CDR20291_RS01325	NC_013316.1	234774	235907	+	1134	0
CDR20291_RS01330	NC_013316.1	236834	237856	+	1023	0
CDR20291_RS01335	NC_013316.1	238152	239072	+	921	0
CDR20291_RS01340	NC_013316.1	239111	239803	+	693	0
CDR20291_RS01345	NC_013316.1	239796	240698	+	903	0
CDR20291_RS01350	NC_013316.1	240783	241367	+	585	0
CDR20291_RS01355	NC_013316.1	241582	242508	+	927	0
CDR20291_RS01360	NC_013316.1	242560	243450	-	891	0
CDR20291_RS01365	NC_013316.1	243638	244669	+	1032	0
CDR20291_RS01370	NC_013316.1	244963	245838	+	876	0
CDR20291_RS01375	NC_013316.1	245856	247346	+	1491	0
CDR20291_RS01380	NC_013316.1	247539	247823	+	285	0
CDR20291_RS01385	NC_013316.1	247856	249484	+	1629	0
CDR20291_RS01390	NC_013316.1	249746	250486	+	741	0
CDR20291_RS01405	NC_013316.1	252135	253670	+	1536	0
CDR20291_RS01410	NC_013316.1	254248	255639	+	1392	0
CDR20291_RS01415	NC_013316.1	255787	256662	-	876	0
CDR20291_RS01420	NC_013316.1	256782	257345	+	564	0
CDR20291_RS01425	NC_013316.1	257342	257908	+	567	0
CDR20291_RS01430	NC_013316.1	258037	258273	-	237	0
CDR20291_RS01435	NC_013316.1	258583	262011	-	3429	0
CDR20291_RS01440	NC_013316.1	262330	264564	+	2235	0
CDR20291_RS01445	NC_013316.1	264820	266850	+	2031	0
CDR20291_RS01450	NC_013316.1	266847	267299	+	453	0
CDR20291_RS01455	NC_013316.1	267301	268356	+	1056	0
CDR20291_RS01460	NC_013316.1	268423	268731	+	309	0
CDR20291_RS01465	NC_013316.1	268835	270100	+	1266	0
CDR20291_RS01470	NC_013316.1	270188	270904	+	717	0
CDR20291_RS01475	NC_013316.1	271099	271392	-	294	0
CDR20291_RS01480	NC_013316.1	271398	271613	-	216	0
CDR20291_RS01485	NC_013316.1	272158	272670	-	513	0
CDR20291_RS01490	NC_013316.1	273120	273596	+	477	0
CDR20291_RS01495	NC_013316.1	273602	274300	+	699	0
CDR20291_RS01500	NC_013316.1	274312	275679	+	1368	0
CDR20291_RS01505	NC_013316.1	275673	276749	+	1077	0
CDR20291_RS01510	NC_013316.1	276743	277336	+	594	0
CDR20291_RS01515	NC_013316.1	277329	278861	+	1533	0
CDR20291_RS01520	NC_013316.1	278872	280122	+	1251	0
CDR20291_RS01525	NC_013316.1	280147	283953	+	3807	0
CDR20291_RS01530	NC_013316.1	284159	285031	+	873	0
CDR20291_RS01535	NC_013316.1	285140	286021	+	882	0
CDR20291_RS01540	NC_013316.1	286058	286615	+	558	0
CDR20291_RS01545	NC_013316.1	286653	287636	+	984	0
CDR20291_RS01550	NC_013316.1	287675	288343	+	669	0
CDR20291_RS01555	NC_013316.1	288352	288780	+	429	0
CDR20291_RS01560	NC_013316.1	288804	289118	+	315	0
CDR20291_RS01565	NC_013316.1	289270	289545	+	276	0
CDR20291_RS01570	NC_013316.1	289550	289966	+	417	0
CDR20291_RS01575	NC_013316.1	289984	291294	+	1311	0
CDR20291_RS01580	NC_013316.1	291313	292245	+	933	0
CDR20291_RS01585	NC_013316.1	292261	292653	+	393	0
CDR20291_RS01590	NC_013316.1	292647	292859	+	213	0
CDR20291_RS01595	NC_013316.1	292881	293276	+	396	0
CDR20291_RS01600	NC_013316.1	293276	293632	+	357	0
CDR20291_RS01605	NC_013316.1	293653	295176	+	1524	0
CDR20291_RS01610	NC_013316.1	295179	295514	+	336	0
CDR20291_RS01615	NC_013316.1	295616	296488	+	873	0
CDR20291_RS01620	NC_013316.1	296599	298722	+	2124	0
CDR20291_RS01625	NC_013316.1	298746	300623	+	1878	0
CDR20291_RS01630	NC_013316.1	300616	302730	+	2115	0
CDR20291_RS01635	NC_013316.1	302739	303734	+	996	0
CDR20291_RS01640	NC_013316.1	303826	305058	+	1233	0
CDR20291_RS01645	NC_013316.1	305078	306022	+	945	0
CDR20291_RS01650	NC_013316.1	306095	306523	+	429	0
CDR20291_RS01655	NC_013316.1	306601	307701	+	1101	0
CDR20291_RS01660	NC_013316.1	308507	308824	+	318	0
CDR20291_RS01665	NC_013316.1	308832	309236	+	405	0
CDR20291_RS01670	NC_013316.1	309246	309563	+	318	0
CDR20291_RS01675	NC_013316.1	309588	311138	+	1551	0
CDR20291_RS01680	NC_013316.1	311151	312221	+	1071	0
CDR20291_RS01685	NC_013316.1	312205	312945	+	741	0
CDR20291_RS01690	NC_013316.1	312949	314268	+	1320	0
CDR20291_RS01695	NC_013316.1	314300	314746	+	447	0
CDR20291_RS01700	NC_013316.1	314774	315979	+	1206	0
CDR20291_RS01705	NC_013316.1	315997	316605	+	609	0
CDR20291_RS01710	NC_013316.1	316632	317615	+	984	0
CDR20291_RS01715	NC_013316.1	317628	317831	+	204	0
CDR20291_RS01720	NC_013316.1	317831	318649	+	819	0
CDR20291_RS01725	NC_013316.1	318639	319334	+	696	0
CDR20291_RS01730	NC_013316.1	319346	319789	+	444	0
CDR20291_RS01735	NC_013316.1	319804	320178	+	375	0
CDR20291_RS01740	NC_013316.1	320179	320844	+	666	0
CDR20291_RS01745	NC_013316.1	320857	321126	+	270	0
CDR20291_RS01750	NC_013316.1	321138	322952	+	1815	0
CDR20291_RS01755	NC_013316.1	322961	325036	+	2076	0
CDR20291_RS01760	NC_013316.1	325014	326027	+	1014	0
CDR20291_RS01765	NC_013316.1	326024	326902	+	879	0
CDR20291_RS01770	NC_013316.1	326916	327617	+	702	0
CDR20291_RS01775	NC_013316.1	327633	328055	+	423	0
CDR20291_RS01780	NC_013316.1	328040	328225	+	186	0
CDR20291_RS01785	NC_013316.1	328266	329039	+	774	0
CDR20291_RS01790	NC_013316.1	329060	329821	+	762	0
CDR20291_RS01795	NC_013316.1	329844	330725	+	882	0
CDR20291_RS01800	NC_013316.1	330728	331102	+	375	0
CDR20291_RS01805	NC_013316.1	331134	332537	+	1404	0
CDR20291_RS01810	NC_013316.1	332653	334590	+	1938	0
CDR20291_RS01815	NC_013316.1	334978	336108	+	1131	0
CDR20291_RS01820	NC_013316.1	336335	337357	+	1023	0
CDR20291_RS01825	NC_013316.1	337539	338450	+	912	0
CDR20291_RS01830	NC_013316.1	338465	338881	+	417	0
CDR20291_RS01835	NC_013316.1	338975	339367	-	393	0
CDR20291_RS01840	NC_013316.1	339508	339903	+	396	0
CDR20291_RS01845	NC_013316.1	340306	340512	+	207	0
CDR20291_RS01850	NC_013316.1	340823	341566	-	744	0
CDR20291_RS01855	NC_013316.1	341732	344299	+	2568	0
CDR20291_RS01860	NC_013316.1	344529	344933	+	405	0
CDR20291_RS01865	NC_013316.1	344957	345454	+	498	0
CDR20291_RS01870	NC_013316.1	345457	345858	+	402	0
CDR20291_RS01875	NC_013316.1	345876	346364	+	489	0
CDR20291_RS01880	NC_013316.1	346391	347146	+	756	0
CDR20291_RS01885	NC_013316.1	347146	348009	+	864	0
CDR20291_RS01890	NC_013316.1	348056	348535	+	480	0
CDR20291_RS01895	NC_013316.1	348600	349907	+	1308	0
CDR20291_RS01905	NC_013316.1	350870	351964	+	1095	0
CDR20291_RS01910	NC_013316.1	351969	352169	+	201	0
CDR20291_RS01915	NC_013316.1	352166	353086	+	921	0
CDR20291_RS01920	NC_013316.1	353083	353841	+	759	0
CDR20291_RS01925	NC_013316.1	354224	355297	+	1074	0
CDR20291_RS01930	NC_013316.1	355367	355630	+	264	0
CDR20291_RS01935	NC_013316.1	355836	356813	+	978	0
CDR20291_RS01940	NC_013316.1	357032	358054	+	1023	0
CDR20291_RS01945	NC_013316.1	358096	358986	+	891	0
CDR20291_RS01950	NC_013316.1	359034	359996	+	963	0
CDR20291_RS01955	NC_013316.1	360050	361561	+	1512	0
CDR20291_RS01960	NC_013316.1	361545	362543	+	999	0
CDR20291_RS01965	NC_013316.1	362727	363989	+	1263	0
CDR20291_RS01970	NC_013316.1	364009	364752	+	744	0
CDR20291_RS01975	NC_013316.1	364925	366310	+	1386	0
CDR20291_RS01980	NC_013316.1	366647	367291	-	645	0
CDR20291_RS01985	NC_013316.1	367555	368169	+	615	0
CDR20291_RS01990	NC_013316.1	368390	368530	+	141	0
CDR20291_RS19355	NC_013316.1	368760	369002	-	243	0
CDR20291_RS19360	NC_013316.1	368989	369207	-	219	0
CDR20291_RS02000	NC_013316.1	369977	370816	+	840	0
CDR20291_RS02005	NC_013316.1	370806	371249	+	444	0
CDR20291_RS02010	NC_013316.1	371260	371751	+	492	0
CDR20291_RS02015	NC_013316.1	371953	372681	-	729	0
CDR20291_RS02020	NC_013316.1	372806	373894	+	1089	0
CDR20291_RS02025	NC_013316.1	374332	375180	-	849	0
CDR20291_RS02030	NC_013316.1	375379	375744	+	366	0
CDR20291_RS02035	NC_013316.1	375767	378154	+	2388	0
CDR20291_RS02040	NC_013316.1	378740	380242	+	1503	0
CDR20291_RS02045	NC_013316.1	380464	383361	+	2898	0
CDR20291_RS02050	NC_013316.1	383489	383605	+	117	0
CDR20291_RS02055	NC_013316.1	383783	384391	+	609	0
CDR20291_RS02060	NC_013316.1	384932	385705	-	774	0
CDR20291_RS02065	NC_013316.1	385716	386453	-	738	0
CDR20291_RS02070	NC_013316.1	386446	387369	-	924	0
CDR20291_RS02075	NC_013316.1	387526	388449	-	924	0
CDR20291_RS02080	NC_013316.1	388451	389152	-	702	0
CDR20291_RS02085	NC_013316.1	389145	389333	-	189	0
CDR20291_RS02090	NC_013316.1	389562	390491	+	930	0
CDR20291_RS02095	NC_013316.1	390505	392277	+	1773	0
CDR20291_RS02100	NC_013316.1	392790	393542	+	753	0
CDR20291_RS02105	NC_013316.1	393532	393816	+	285	0
CDR20291_RS02110	NC_013316.1	393819	394517	+	699	0
CDR20291_RS02115	NC_013316.1	394510	395328	+	819	0
CDR20291_RS02120	NC_013316.1	395583	397847	+	2265	0
CDR20291_RS02125	NC_013316.1	397864	399162	+	1299	0
CDR20291_RS02130	NC_013316.1	399193	399945	+	753	0
CDR20291_RS02135	NC_013316.1	400010	400534	+	525	0
CDR20291_RS02155	NC_013316.1	402547	404145	-	1599	0
CDR20291_RS02160	NC_013316.1	405023	407665	+	2643	0
CDR20291_RS02165	NC_013316.1	408025	408366	-	342	0
CDR20291_RS02170	NC_013316.1	408393	409064	-	672	0
CDR20291_RS02175	NC_013316.1	409076	411661	-	2586	0
CDR20291_RS02180	NC_013316.1	411869	412804	+	936	0
CDR20291_RS02185	NC_013316.1	412823	413560	+	738	0
CDR20291_RS02190	NC_013316.1	413720	418777	-	5058	0
CDR20291_RS02195	NC_013316.1	418802	419221	-	420	0
CDR20291_RS02200	NC_013316.1	419454	419705	-	252	0
CDR20291_RS02205	NC_013316.1	419794	420525	+	732	0
CDR20291_RS02210	NC_013316.1	420584	421495	+	912	0
CDR20291_RS02215	NC_013316.1	421546	422358	+	813	0
CDR20291_RS02220	NC_013316.1	422468	423160	+	693	0
CDR20291_RS02225	NC_013316.1	423247	424188	+	942	0
CDR20291_RS02230	NC_013316.1	424225	425382	+	1158	0
CDR20291_RS02235	NC_013316.1	425534	426094	+	561	0
CDR20291_RS02240	NC_013316.1	426122	426613	+	492	0
CDR20291_RS02245	NC_013316.1	426842	427393	+	552	0
